"영화명","개봉일","매출액","매출액점유율","누적매출액","관객수","누적관객수","스크린수","상영횟수","대표국적","제작사","배급사","등급","장르","감독","배우"
"7광구",2011-08-04,19391653500,1.8,19391653500,2242510,2242510,812,47346,"한국","(주)제이케이필름,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","SF,액션,스릴러","김지훈","하지원"
"마당을 나온 암탉",2011-07-28,14668226000,1.4,14668226000,2201273,2201273,363,39224,"한국","(주)오돌또기 ,(주)명필름","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","애니메이션","오성윤,민성아","문소리"
"초능력자",2010-11-10,15374798000,1.4,15374798000,2130645,2130645,612,58009,"한국","영화사 집","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","SF,드라마","김민석","김한나"
"쩨쩨한 로맨스",2010-12-01,15800299000,1.5,15800299000,2067534,2067534,450,47891,"한국","(주)크리픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","코미디,멜로/로맨스","김정훈","이선균"
"글러브",2011-01-20,13756104000,1.3,13756104000,1887731,1887731,605,44725,"한국","(주)시네마서비스","CJ ENM","전체관람가","드라마","강우석","강신일"
"아이들...",2011-02-17,13579712500,1.3,13579712500,1867849,1867849,504,41515,"한국","(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,스릴러","이규만","박용우"
"해결사",2010-09-09,13844624000,1.3,13844624000,1843404,1843404,525,59325,"한국","(주)외유내강","(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브","15세이상관람가","액션,스릴러","권혁재","이영수"
"악마를 보았다",2010-08-12,13919416500,1.3,13919416500,1817063,1817063,490,42721,"한국","(주)페퍼민트앤컴퍼니,(주)씨즈엔터테인먼트","(주)쇼박스","청소년관람불가","스릴러","김지운","구용완"
"마이 웨이",2011-12-21,13002897500,1.2,13002897500,1739543,1739543,645,31802,"한국","(주)디렉터스","에스케이플래닛(주),(주)씨제이이엔엠","15세이상관람가","전쟁,액션,드라마","강제규","장동건"
"평양성",2011-01-27,12684530500,1.2,12684530500,1717566,1717566,483,41860,"한국","(주)영화사아침,(주)타이거픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","전쟁,코미디,드라마","이준익","정진영"
"무적자",2010-09-16,11629780500,1.1,11629780500,1546132,1546132,412,46186,"한국","핑거프린트(주)","CJ ENM","15세이상관람가","드라마,액션","송해성","주진모"
"구르믈 버서난 달처럼",2010-04-28,10241716500,0.9,10241716500,1383867,1383867,506,48314,"한국","(주)영화사아침,(주)타이거픽쳐스","에스케이텔레콤(주)","15세이상관람가","사극,액션","이준익","황정민"
"육혈포 강도단",2010-03-18,8651186000,0.8,8651186000,1214237,1214237,319,51941,"한국","(주)전망좋은 영화사","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,드라마,액션","강효진","나문희"
"심야의 F.M.",2010-10-14,9179188500,0.9,9179188500,1208310,1208310,423,50429,"한국","(주)주말의 명화,(주)홍필름","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","스릴러,범죄","김상만","수애"
"김종욱 찾기",2010-12-08,8208816000,0.8,8208816000,1122195,1122195,427,32174,"한국","(주)수필름","CJ ENM","12세이상관람가","멜로/로맨스,드라마","장유정","임수정"
"용서는 없다",2010-01-07,8544828000,0.8,8597290000,1118277,1125154,323,33614,"한국","㈜더드림앤드픽쳐스,(주)시네마서비스","(주)시네마서비스","청소년관람불가","범죄,스릴러","김형준","설경구"
"특수본",2011-11-24,8096052500,0.7,8096052500,1118258,1118258,471,40881,"한국","(주)영화사수박","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션,범죄","황병국","우혜진"
"베스트셀러",2010-04-15,7983184500,0.7,7983184500,1081752,1081752,308,41064,"한국","(주)에코필름,데이지엔터테인먼트","(주)시너지하우스 (시너지)","15세이상관람가","미스터리,스릴러,드라마","이정호","엄정화"
"수상한 고객들",2011-04-14,7953428000,0.7,7953428000,1059350,1059350,411,33930,"한국","(주)메이스엔터테인먼트","(주)씨제이이엔엠","15세이상관람가","코미디,드라마","조진모","윤하"
"오직 그대만",2011-10-20,7591008500,0.7,7591008500,1027622,1027622,435,35365,"한국","(주)51k,(주)에이치비엔터테인먼트","(주)쇼박스","15세이상관람가","멜로/로맨스","송일곤","소지섭"
"심장이 뛴다",2011-01-05,7624895500,0.7,7624895500,1025243,1025243,445,26876,"한국","(주)오죤필름,(유)대결문화산업전문회사","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마","윤재근","김윤진"
"파괴된 사나이",2010-07-01,7692092100,0.7,7692092100,1012310,1012310,363,31985,"한국","아이러브시네마,(주)아이필름홀딩스","(주)시너지하우스 (시너지)","청소년관람불가","드라마,스릴러","우민호","김명민"
"평행이론",2010-02-18,6793066000,0.6,6793066000,921111,921111,265,32341,"한국","(주)다세포클럽,CJ ENM","CJ ENM","15세이상관람가","스릴러,액션,드라마,미스터리","권호영","지진희"
"퍼펙트 게임",2011-12-21,6640940000,0.6,6640940000,895416,895416,413,21090,"한국","(주)동아수출공사,밀리언 스토리,(주)다세포클럽","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","박희곤","조승우"
"체포왕",2011-05-04,6413325500,0.6,6413325500,870887,870887,407,32545,"한국","(주)씨네이천","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,액션","임찬익","박중훈"
"고死 두 번째 이야기: 교생실습",2010-07-28,5802318000,0.5,5802318000,857038,857038,313,23307,"한국","(주)코어콘텐츠미디어","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","공포(호러),스릴러","유선동","김수로"
"만추",2011-02-17,6313817000,0.6,6313817000,845845,845845,444,25590,"한국","(주)에스씨에스엔터테인먼트","CJ ENM","15세이상관람가","멜로/로맨스","김태용","현빈"
"화이트: 저주의 멜로디",2011-06-09,5587166000,0.5,5587166000,790954,790954,311,28059,"한국","(주)두엔터테인먼트","(주)씨제이이엔엠","15세이상관람가","공포(호러)","김곡,김선","황우슬"
"푸른소금",2011-08-31,5739824500,0.5,5739824500,771699,771699,476,28346,"한국","(주)미디어앤시네마스튜디오블루","(주)씨제이이엔엠","15세이상관람가","액션,드라마,멜로/로맨스","이현승","송강호"
"주유소 습격사건 2",2010-01-21,5379208500,0.5,5379208500,729834,729834,315,27844,"한국","㈜감독의집,(주)시네마서비스","(주)시네마서비스","15세이상관람가","액션,코미디","김상진","지현우"
"풍산개",2011-06-23,5395201500,0.5,5395201500,714136,714136,286,19194,"한국","(주)김기덕 필름","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","드라마","전재홍","윤계상"
"통증",2011-09-07,5246996000,0.5,5246996000,700272,700272,317,29211,"한국","(주)트로피엔터테인먼트,(주)영화사축제,(주)미스터로맨스","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","멜로/로맨스,드라마","곽경택","정려원"
"고양이: 죽음을 보는 두 개의 눈",2011-07-07,4780502000,0.4,4780502000,672314,672314,304,18972,"한국","파인하우스필름(주)","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","공포(호러)","변승욱","김예론"
"이층의 악당",2010-11-24,4271750500,0.4,4271750500,596851,596851,379,26998,"한국","(유)이층의 악당 문화산업전문회사","(주)싸이더스","15세이상관람가","코미디,미스터리","손재곤","오재균"
"반가운 살인자",2010-04-08,4285830500,0.4,4285830500,590531,590531,264,29724,"한국","(주)영화사소풍","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,스릴러","김동욱","김미소"
"퀴즈왕",2010-09-16,4188846000,0.4,4188846000,573001,573001,321,23579,"한국","소란플레이먼트(주)","(주)시네마서비스","15세이상관람가","코미디","장진","김수로"
"너는 펫",2011-11-10,3810103000,0.4,3810103000,543313,543313,341,24395,"한국","컴어나더(주)","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김병곤","장근석"
"챔프",2011-09-07,3850214500,0.4,3850214500,534752,534752,301,19668,"한국","(주)씨엘엔터테인먼트,(주)대명문화공장,(주)예인문화,(주)화인웍스","(주)쇼박스","12세이상관람가","드라마","이환경","차태현"
"불량남녀",2010-11-04,3562190000,0.3,3562190000,483387,483387,338,24441,"한국","㈜트라이앵글픽쳐스,㈜비오비시네마","(주)쇼박스","15세이상관람가","코미디","신근호","임창정"
"친정엄마",2010-04-22,3321091000,0.3,3321091000,472009,472009,275,24994,"한국","(주)동아수출공사,아일랜드픽처스(주)","(주)싸이더스","전체관람가","드라마,가족","유성엽","김해숙"
"카운트다운",2011-09-29,3630557000,0.3,3630557000,471547,471547,341,20958,"한국","(주)영화사봄","(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","드라마,액션","허종호","정재영"
"식객2 : 김치전쟁",2010-01-28,3243969500,0.3,3243969500,462714,462714,347,22753,"한국","㈜이룸영화사","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","드라마","백동훈,김길형","김정은"
"대한민국 1%",2010-05-05,2244690500,0.2,2244690500,440372,440372,286,20352,"한국","㈜기억속의매미","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마,액션","조명남","손병호"
"모비딕",2011-06-09,3264596000,0.3,3264596000,430936,430936,377,19894,"한국","(주)쇼박스,(주)팔레트픽처스","(주)쇼박스","15세이상관람가","스릴러,드라마","박인제","황정민"
"티끌모아 로맨스",2011-11-10,2941629500,0.3,2941629500,423919,423919,323,19291,"한국","(주)아이에이치큐,㈜인디스토리","필라멘트픽쳐스","15세이상관람가","멜로/로맨스,코미디","김정환","한예슬"
"사랑이 무서워",2011-03-10,3020062500,0.3,3020062500,402876,402876,290,21341,"한국","(주)위픽쳐스,(주)디씨지플러스","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,멜로/로맨스","정우철","임창정"
"커플즈",2011-11-02,2705566500,0.3,2705566500,360045,360045,387,19564,"한국","시오필름(주),(주)바른손이앤에이","(주)싸이더스","15세이상관람가","멜로/로맨스,코미디","정용기","공형진"
"맨발의 꿈",2010-06-24,2372787500,0.2,2372787500,331945,331945,332,17790,"한국","(주)캠프비,(주)쇼박스","(주)쇼박스","전체관람가","드라마","김태균","박희순"
"세상에서 가장 아름다운 이별",2011-04-20,2296840000,0.2,2296840000,316990,316990,340,17456,"한국","(주)수필름","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","민규동","김갑수"
"마이 블랙 미니드레스",2011-03-24,2318884500,0.2,2318884500,313953,313953,325,20166,"한국","(주)토리픽쳐스","(주)씨제이이엔엠","15세이상관람가","드라마","허인무","윤은혜"
"마마",2011-06-01,1642407500,0.2,1642407500,243209,243209,269,12667,"한국","씨네주(유),㈜더드림앤드픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","최익환","엄정화"
"적과의 동침",2011-04-27,1740340000,0.2,1740340000,243094,243094,391,14069,"한국","(주)알지엔터웍스","(주)쇼박스","12세이상관람가","드라마,멜로/로맨스","박건용","김주혁"
"폐가",2010-08-19,1586581500,0.1,1586581500,225955,225955,160,8769,"한국","데이지엔터테인먼트,HY Films","(주)시너지하우스 (시너지)","15세이상관람가","공포(호러)","이철하","신경선"
"투혼",2011-10-06,1432123500,0.1,1432123500,210970,210970,356,15008,"한국","㈜감독의집,(주)시네마제니스","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트","전체관람가","드라마","김상진","김주혁"
"페스티발",2010-11-18,1517889500,0.1,1517889500,196995,196995,234,11898,"한국","(주)영화사아침,(주)타이거픽쳐스","(주)시너지하우스 (시너지)","청소년관람불가","코미디","이해영","신하균"
"아빠가 여자를 좋아해",2010-01-14,1243136000,0.1,1243136000,174333,174333,277,13408,"한국","(주)하리마오픽쳐스","(주)쇼박스","12세이상관람가","멜로/로맨스,코미디","이광재","김지석"
"나는 아빠다",2011-04-14,1246420500,0.1,1246420500,168049,168049,300,15810,"한국","㈜기억속의매미","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","액션,드라마","전만배,이세영","김새론"
"그랑프리",2010-09-16,1219746000,0.1,1219746000,167024,167024,232,13100,"한국","(주)네버엔딩스토리","(주)싸이더스","12세이상관람가","드라마","양윤호","김태희"
"비밀애",2010-03-25,1206962000,0.1,1206962000,164252,164252,268,15211,"한국","(주)한컴,(주)코난픽쳐스","(주)시너지하우스 (시너지)","청소년관람불가","멜로/로맨스","류훈,권지연","유지태"
"무법자",2010-03-18,1221713500,0.1,1221713500,160734,160734,190,12965,"한국","청강스토리㈜","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","드라마,범죄,스릴러","김철한","감우성"
"웨딩드레스",2010-01-14,985816500,0.1,997380500,141806,143458,185,9417,"한국","(주)로드픽쳐스,(주)인벤트스톤","(주)싸이더스","전체관람가","드라마","권형진","송윤아"
"오늘",2011-10-27,712814000,0.1,712814000,131896,131896,207,7242,"한국","(주)포시즌스카이컴퍼니","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마","이정향","송혜교"
"두 여자",2010-11-18,967522000,0.1,967522000,129576,129576,216,10114,"한국","(주)케이앤엔터테인먼트","CJ ENM","청소년관람불가","멜로/로맨스,드라마","정윤수","문소연"
"마법천자문: 대마왕의 부활을 막아라",2010-08-19,788079000,0.1,788079000,121572,121572,180,5576,"한국","(주)디엔에이프로덕션,디앤에이프로덕션","CJ ENM","전체관람가","애니메이션","윤영기","박현"
"히트",2011-10-13,783919500,0.1,783919500,110631,110631,171,5960,"한국","(주)부영엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마,액션,코미디","이성한","박성웅"
"꿈은 이루어진다",2010-05-27,718090000,0.1,718090000,101698,101698,220,8984,"한국","(주)드림슈거픽쳐스,와이케이픽쳐스,EXCON","CJ ENM","15세이상관람가","코미디,드라마","계윤식","이성재"
"기생령",2011-08-05,750901000,0.1,750901000,96992,96992,207,5783,"한국","(주)코어콘텐츠미디어,(주)이스트스카이필름","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","공포(호러)","고석진","한은정"
"나탈리",2010-10-28,1114062000,0.1,1114062000,94875,94875,196,10025,"한국","(주)상상엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","멜로/로맨스,드라마","주경중","이성재"
"써니 감독판",2011-07-28,698549500,0.1,698549500,90562,90562,54,1574,"한국","(주)알로하픽쳐스,(주)토일렛픽쳐스","(주)씨제이이엔엠","청소년관람불가","드라마,코미디","강형철","고수희"
"회초리",2011-05-19,479093000,0,479093000,74765,74765,142,4246,"한국","(주)영화사메이플러스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","박광우","안내상"
"Mr.아이돌",2011-11-03,515508500,0,515508500,74261,74261,311,8669,"한국","데이지엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스 (시너지)","12세이상관람가","드라마","라희찬","우혜진"
"로맨틱 헤븐",2011-03-24,542739500,0.1,542739500,73729,73729,260,8914,"한국","(주)시네마서비스글로벌","(주)시네마서비스","12세이상관람가","드라마","장진","김수로"
"사랑한다, 사랑하지 않는다",2011-03-03,508658500,0,508658500,66680,66680,80,4571,"한국","(주)영화사봄","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스","이윤기","현빈"
"주문진",2010-01-21,372281300,0,372281300,66098,66098,95,2820,"한국","(주)하명중 영화제작소","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마,멜로/로맨스,판타지","하명중","김기범"
"돌이킬 수 없는",2010-11-04,465532500,0,465532500,64371,64371,204,8780,"한국","(주)재크필름","㈜케이디미디어","15세이상관람가","미스터리,드라마","박수영","천보근"
"헤드",2011-05-26,462025000,0,462025000,61414,61414,196,6934,"한국","(주)이든픽쳐스","(주)에스비에스콘텐츠허브","청소년관람불가","액션,스릴러","조운","류덕환"
"결정적 한방",2011-12-07,439400000,0,439400000,60944,60944,160,6266,"한국","(주)오디이엔티","(주)화앤담이엔티","15세이상관람가","코미디,드라마","박중구","유동근"
"달빛 길어올리기",2011-03-17,362910000,0,362910000,57261,57261,128,4971,"한국","(재)전주국제영화제조직위원회","(주)쇼박스,(주)씨제이이엔엠,롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마","임권택","박중훈"
"폭풍전야",2010-04-01,387323000,0,387323000,51760,51760,134,6410,"한국","오퍼스픽쳐스(유)","(주)성원아이컴","청소년관람불가","드라마,멜로/로맨스","조창호","김남길"
"더 킥",2011-11-03,351561500,0,351561500,51024,51024,153,4506,"한국","방콕 필름 스튜디오,(유)더킥컴퍼니","(주)쇼박스","12세이상관람가","액션","프라챠 핀카엡,이종석","예지원"
"된장",2010-10-21,334175900,0,334175900,45165,45165,112,4657,"한국","필름있수다","CJ ENM,GV 엔터테인먼트","12세이상관람가","미스터리,드라마","이서군","류승룡"
"혈투",2011-02-24,329280000,0,329280000,43947,43947,169,5277,"한국","(주)영화사비단길","(주)싸이더스","15세이상관람가","액션,사극","박훈정","박희순"
"지구대표 롤링스타즈",2011-03-24,230047000,0,230047000,35578,35578,171,2326,"한국","(주)한컴,캐릭터플랜(주)","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","애니메이션","임상준","류덕환"
"사요나라 이츠카",2010-04-15,179113500,0,179113500,23229,23229,31,1715,"한국","(주)투베어픽쳐스,(주)스파이로필름","CJ ENM","청소년관람불가","드라마,멜로/로맨스","이재한","나카야"
"슈퍼쇼3 3D",2011-02-24,158670000,0,158670000,14601,14601,24,340,"한국","(주)에스비에스 플러스","(주)에스비에스콘텐츠허브","전체관람가","공연","김혁","슈퍼주"
"귀 鬼",2010-06-10,94872000,0,94872000,13107,13107,30,1067,"한국","청년필름(주)","CJ ENM","15세이상관람가","공포(호러),스릴러","김조광수,여명준,조은경,홍동명","한예리"
"서유기 리턴즈",2011-02-17,80194000,0,80194000,12696,12696,59,1133,"한국","(주)서울무비웍스","(주)영화사 조제","전체관람가","코미디,액션,어드벤처","신동엽","김병만"
"2010 빅뱅라이브콘서트 BIGSHOW 3D",2011-02-02,127441000,0,127441000,11948,11948,27,619,"한국","(주)와이지엔터테인먼트,(주)에스비에스콘텐츠허브","(주)에스비에스콘텐츠허브","전체관람가","공연","손석","승리"
"최종병기 활 감독확장판",2011-10-20,86374000,0,86374000,11547,11547,52,836,"한국","(주)디씨지플러스,(주)다세포클럽","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","사극,액션","김한민","박해일"
"내 남자의 순이",2010-05-27,73108500,0,73108500,10449,10449,99,2013,"한국","여해 엔터테인먼트,㈜프레임 에이치 컨텐츠 그룹","(주)새인컴퍼니","15세이상관람가","코미디","김호준","박해미"
"샤인 어 라이트(1st 지드래곤 콘서트)",2010-04-15,91164000,0,91164000,10349,10349,14,227,"한국","(주)와이지엔터테인먼트","(주)와이지엔터테인먼트","12세이상관람가","다큐멘터리","정치영",NA
"모차르트 락 오페라",2011-11-17,188739000,0,188739000,10154,10154,21,393,"한국","에스케이플래닛(주)","에스케이플래닛(주)","전체관람가","뮤지컬","정성복",NA
"불타는 내 마음",2010-03-25,69364000,0,69364000,9089,9089,33,1257,"한국","선샤인필름(주)","씨제이 씨지브이(CJ CGV)(주)","15세이상관람가","코미디,멜로/로맨스","최원섭","최요한"
"부러진 화살",2012-01-18,58643500,0,58643500,8839,8839,5,33,"한국","(주)아우라픽처스","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","드라마","정지영","안성기"
"원더풀 라디오",2012-01-05,62002000,0,62002000,8817,8817,12,37,"한국","(주)영화사아이비젼,(주)대명문화공장","(주)쇼박스","15세이상관람가","드라마,멜로/로맨스","권칠인","이민정"
"서태지 모아이 : 더 필름",2011-08-26,76396000,0,76396000,7680,7680,1,37,"한국","(주)서태지컴퍼니","(주)서태지컴퍼니","전체관람가","다큐멘터리","서태지","서태지"
"청담보살",2009-11-11,35344000,0,9599189500,7228,1308810,2,50,"한국","(주)전망좋은 영화사","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","김진영","임창정"
"요술",2010-06-24,46293700,0,46293700,5993,5993,33,798,"한국","(주)와이지엔터테인먼트","CJ ENM","15세이상관람가","드라마,멜로/로맨스","구혜선","임지규"
"걸프렌즈",2009-12-17,30577500,0,781692500,5778,108396,5,100,"한국","영화사 아람(주),(주)미로비젼","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","멜로/로맨스,코미디","강석범","강혜정"
"2AM SHOW",2010-12-09,45518000,0,45518000,4020,4020,27,320,"한국","에스케이텔레콤(주)","에스케이텔레콤(주)","전체관람가","공연","정성복","이창민"
"마마 앤드 파파",2010-05-20,22116000,0,22116000,3099,3099,1,89,"한국","주식회사 케이엠스타","주식회사 케이엠스타","전체관람가","드라마","장태령","김진아"
"라이브 인 3D 휘성 : 잇츠 리얼",2010-09-30,39755000,0,39755000,2920,2920,30,511,"한국","에스케이텔레콤(주)","에스케이텔레콤(주)","전체관람가","다큐멘터리","정성복","휘성"
"은어",2011-09-29,15241000,0,15241000,1944,1944,1,50,"한국","(주)갑종무비필름","(주)갑종무비필름","15세이상관람가","멜로/로맨스","박갑종","홍예나"
"초합금 로보트 쏠라 123",2010-05-01,10907500,0,10907500,1936,1936,32,247,"한국","서울동화","서울동화","전체관람가","애니메이션","김청기",NA
"히어로",2010-11-18,13447000,0,13447000,1564,1564,2,20,"한국","(주)마루인큐브","주식회사 마운틴픽쳐스","15세이상관람가","드라마,공포(호러)","김홍익","김형규"
"평범한 날들",2011-09-29,10633400,0,10633400,1414,1414,10,282,"한국","이난필름","㈜인디스토리","15세이상관람가","드라마","이난","박일목"
"시크릿",2009-12-03,6635000,0,7957651500,989,1043602,5,81,"한국","(주)그린피쉬픽쳐스,(주)제이케이필름","CJ ENM","청소년관람불가","스릴러,드라마,미스터리","윤재구","차승원"
"노르웨이의 숲",2010-09-30,7127000,0,7127000,926,926,9,273,"한국","(주)타임스토리 필름앤북스","(주)키노아이디엠씨","청소년관람불가","코미디,공포(호러)","노진수","정경호"
"완벽한 파트너-감독판",2011-12-01,6788000,0,6788000,844,844,4,76,"한국","(주)영화사참,락시픽쳐스","타임스토리그룹(주)","청소년관람불가","코미디","박헌수","김영호"
"바람",2009-11-26,6056000,0,746323500,792,103628,3,18,"한국","(주)필름더데이즈","(주)싸이더스","청소년관람불가","드라마,액션","이성한","정우"
