"영화명","개봉일","매출액","누적매출액","관객수","누적관객수","스크린수","상영횟수","제작사","배급사","등급","장르","감독","배우"
"의형제",2010-02-04,40153817000,40153817000,5416829,5416829,569,118250,"(주)쇼박스,(주)다세포클럽,루비콘픽쳐스㈜","(주)쇼박스","15세이상관람가","드라마,액션","장훈","송강호,강동원,전국환,박혁권,윤희석,최정우,정인기,설진욱,강명희,홍서백,박용진,김의용,황순욱,황인준,박현수,김남희,김태환,박민우,임세환,최윤서,김진용,주부진,이현지,백승익,차엽,박진우,김광규,고창석,배용근,유하복,박수영,박성연,김영웅,이정민,권범택"
"완득이",2011-10-20,38526500500,38526500500,5309982,5309982,629,117767,"(주)유비유필름,어나더픽쳐스(주)","(주)씨제이이엔엠","12세이상관람가","드라마","이한","김윤석,유아인,김효숙,조병찬,조세현,정한진,강별,박효주,박종현,박진아,서대현,서왕석,김광섭,차선영,천영암,최명경,윤경호,전승엽,임정환,오희준,김신우,이경숙,이유나,이태영,김영재,조덕제,조상건,안길강,김상호,리우진,성유빈,박수영,김도영,김동영,신유람,김윤태"
"조선명탐정 : 각시투구꽃의 비밀",2011-01-27,35841769500,35841769500,4786259,4786259,634,84189,"청년필름(주)","(주)쇼박스","12세이상관람가","코미디,액션","김석윤","김명민,김호연,한지민,오달수,김영훈,백성기,지승현,류현상,김경화,김탁호,김윤섭,최무성,남성진,우현,이재용,예수정,원현준,김태훈,정인기"
"도가니",2011-09-22,35566854800,35566854800,4662822,4662822,756,88337,"(주)삼거리픽쳐스,(주)판타지오","(주)씨제이이엔엠","청소년관람불가","드라마","황동혁","정유미,공유,허재호,송은정,임현성,최진호,박진우,이금용,배정민,김봉화,최보람,박사현,전영미,박선희,최영수,이순남,박승원,오하나,이예나,이차주,김현수,장소연,장광,전국환,엄효섭,남명렬,이장유,박혜진,김민상"
"전우치",2009-12-23,26345181000,44092783000,3611486,6065369,556,73177,"영화사 집","CJ ENM","12세이상관람가","액션,코미디,판타지","최동훈","강동원,임수정,김윤석,유해진,염정아,김시권,주진모,김효진,강동균,정혜란,손선영,송진영,김혜지,신수현,박용범,박민규,조운,박지희,안성진,노남석,한연호,김고은,김규연,고준영,박남희,윤대원,이석원,이성두,정영훈,정우철,박연수,오준석,정지인,이우희,이대로,이철희,송영창,이미도,김서현,최진호,조상건,장준녕,최우리,김상호,이용녀,선우선,공정환,박성훈,박수영,권태원,정인기,김기범,최교식,김기천,조운,김현식"
"이끼",2010-07-14,25437300500,25437300500,3350303,3350303,740,58198,"(주)시네마서비스,㈜렛츠필름,(주)시네마서비스글로벌","CJ ENM","청소년관람불가","드라마,스릴러","강우석","정재영,박해일,유준상,유선,허준호,유해진,김상호,김준배,강신일,이철민,박정재,유준상,최근현,윤아름,오순태,김철현,장준녕"
"포화속으로",2010-06-16,23831968600,23831968600,3330326,3330326,742,80093,"(주)태원엔터테인먼트,(주)유비유필름,(주)에이치 플러스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마,전쟁","이재한","차승원,권상우,최승현,김승우,김혜성,신현탁,문재원,김득겸,신경선,추종범,홍성진,신성현,김윤성,장문석,김한준,황승현,김동윤,김동범,서승택,김경주,김대연,김규호,채호병,김태환,유승현,유영준,최민석,유한솔,윤승훈,장현근,이성문,정경일,윤진태,이세진,정재훈,정준혁,김정섭,김수형,김승환,이경현,이현종,고은총,이동훈,박진희,데이비드 맥기니스,남태부,강필선,진용욱,김호원,황유현,염혜란,백인권,위지웅"
"퀵",2011-07-20,22960890000,22960890000,3125069,3125069,514,60714,"(주)제이케이필름,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","코미디,액션","조범구","이새별,고창석,강예원,이민기,김인권,김원영,홍승록,박은영,조용진,김은옥,이건우,안상훈,배승리,권영빈,주승환,주영민,변상윤,김가을,김결,서태원,박다솜,이지호,최민서,윤소연,윤승현,임혜원,박상현,윤지민,최연주,정수인,김병철,이해인,김재화,이희준,오정세,전국환,유승목,윤제문,김소진,조경현,박지연,한사명"
"헬로우 고스트",2010-12-22,22056966500,22056966500,3019780,3019780,472,57578,"(주)워터앤트리","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가","코미디,드라마","김영탁","차태현,강예원,이문수,고창석,장영남,천보근,신성일,이창수,라미란,이한위,조덕제,박길수,안길강,정혜원,하성광,이장유,이동진"
"하모니",2010-01-28,21641865000,21641865000,3018154,3018154,384,77732,"(주)제이케이필름","CJ ENM","12세이상관람가","드라마","강대규","김윤진,김호연,나문희,강예원,이다희,장영남,박준면,정수영,손미희,정혜원,홍민기,김원영,신정원,김해용,박지연,서동현,박란,유정민,이효준,임채연,윤익준,윤정빈,박선희,오은미,정재민,염은하,최은찬,전수지,김양성,김현수,김재화,지성원,이승연,이선주,박혜진,차청화"
"방자전",2010-06-02,22490392000,22490392000,2985556,2985556,495,67572,"(주)바른손이앤에이,시오필름(주),(주)더타워픽쳐스","CJ ENM","청소년관람불가","사극,코미디,멜로/로맨스","김대우","김주혁,류승범,조여정,류현경,오달수,송새벽,오정세,공형진,김성령,최무성,김선영,김민교,조창현,안정희,박은혜,조명행,전세하,김형석,박영미,문원주,류현상,송슬기,박대희,유은아,정다혜,윤주영,최성일,김탁호,이진운,양시은,송지인,이민웅,최교식,류제승,이제훈,남진복,김태훈"
"고지전",2011-07-20,21968557600,21968557600,2945137,2945137,585,53738,"(주)티피에스컴퍼니","(주)쇼박스","15세이상관람가","드라마,전쟁","장훈","신하균,고수,이제훈,류승수,고창석,이다윗,류승룡,김옥빈,조진웅,정인기,강구현,강내균,송현석,조민철,조민호,홍서백,박영서,박재철,박종환,박주용,하성철,조형우,서수석,김경일,김상수,최민,윤민수,임재현,김준영,김지수,이주승,최정우,전국환,김강일,서현우,한이진"
"오싹한 연애",2011-12-01,20634684500,20634684500,2823060,2823060,544,55469,"상상필름(주)","(주)씨제이이엔엠","12세이상관람가","공포(호러),멜로/로맨스,코미디","황인호","손예진,이민기,신동훈,김혜숙,조아라,박재우,태리,최우진,이현진,이미도,송지인,황승언,김현숙"
"부당거래",2010-10-28,20996302500,20996302500,2722996,2722996,502,69703,"필름트레인,(주)외유내강","CJ ENM","청소년관람불가","범죄,드라마","류승완","황정민,김승훈,류승범,유해진,천호진,마동석,김원범,최정현,황병국,조준현,조철현,박형준,한동욱,한상욱,한성희,류수경,한재덕,강유미,서지영,박광호,박미숙,박민정,박민정,박민정,전봉수,전진영,박세준,임정언,권성현,최우성,온세웅,연영식,오상진,김종민,이춘연,이유빈,백승익,오승현,이채은,이미도,이희준,오정세,안길강,김수현,조영진,정만식,차은재,이화룡,김규남,김기천,곽자형,곽진석,김서원"
"시라노; 연애조작단",2010-09-16,19838443000,19838443000,2684798,2684798,415,77739,"(주)명필름","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김현석","엄태웅,이민정,최다니엘,박신혜,박철민,전아민,송새벽,류현경,김유경,박은성,조재형,송다은,한대룡,서대현,김대인,김상렬,이병규,유일한,이미도,이미소,김지영,이대연,권해효,원현준,김유경"
"위험한 상견례",2011-03-31,19174920500,19174920500,2595625,2595625,524,75068,"(주)전망좋은 영화사","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","코미디,멜로/로맨스","김진영","송새벽,이시영,백윤식,김수미,박철민,강동호,손대구,임종혁,김효원,김원석,정웅인,이연주,박정민,박주희,정성화,서용주,김선영,박민우,정승혜,이진규,이진성,오상훈,양민석,김준영,이명숙,이한위,길해연,박효주,김정난,김응수,정민성,이상협"
"라스트 갓파더",2010-12-29,18511991000,18511991000,2541603,2541603,547,46450,"㈜영구아트","CJ ENM","12세이상관람가","코미디","심형래","심형래,마이클 리스폴리,하비 케이틀,제이슨 미웨스,조셀린 도나휴,안소희,우혜림"
"의뢰인",2011-09-29,17797042500,17797042500,2393086,2393086,522,58414,"청년필름(주)","(주)쇼박스","15세이상관람가","스릴러","손영성","박희순,장혁,하정우,유다인,박원재,손인용,허재호,조동연,김원우,김유선,최종원,최준혁,유하준,박혁권,최진욱,황병국,나수윤,이근우,백선희,권원진,이두훈,변봉현,강승훈,김보미,장윤정,이상원,이선희,임승빈,양정은,이창훈,김영훈,배성우,이지훈,정원중,최희진,예수정,이화룡,박성연,박성근,김윤태"
"가문의 영광4 - 가문의 수난",2011-09-07,17792219500,17792219500,2368267,2368267,537,48432,"(주)태원엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","코미디","정태원","김수미,신현준,임형준,정준하,탁재훈,현영,허필봉,정웅인,박정호,박정환,한용환,모상범,임정빈,여기한,오석규,이창세,김지우,김성주,정만식,김화섭"
"블라인드",2011-08-10,18390012500,18390012500,2367942,2367942,404,49358,"(주)문와쳐","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","스릴러","안상훈","김하늘,유승호,조희봉,양영조,최지호,조은서,박주혜,조하나,김기준,임채경,민소연,이보미,박영,최은석,이은이,박보검,오대환,이한솔,박충선,성유빈,백익남,김사희"
"하녀",2010-05-13,17038639000,17038639000,2267556,2267556,555,59621,"(주)싸이더스,(주)미로비젼","(주)싸이더스","청소년관람불가","스릴러,멜로/로맨스","임상수","전도연,이정재,윤여정,서우,박지영,안서현,황정민,문소리,신재민,박지선,박지선,김지선,전신환"
"황해",2010-12-22,17497165500,17497165500,2260512,2260512,618,42102,"㈜팝콘필름","(주)쇼박스,이십세기폭스코리아(주)","청소년관람불가","스릴러,액션,범죄","나홍진","김윤석,하정우,조성하,이철민,박윤호,김기석,박재홍,안서현,박창수,노남석,김기환,백승철,진명,김봉주,고해성,장윤영,권귀덕,강민규,임만규,정명식,임재민,김재화,김윤정,박병은,조재윤,이엘,이영수,장소연,이희준,송원종,정대용,황석정,유하복,최욱,손강국,정만식,공정환,이유미,염동헌,정민성,백현주,정혜원,이재우,승의열,한이진,천명재,방혜영"
"7광구",2011-08-04,19391653500,19391653500,2242510,2242510,812,47346,"(주)제이케이필름,(주)씨제이이엔엠","(주)씨제이이엔엠","15세이상관람가","SF,액션,스릴러","김지훈","하지원,박철민,김성태,차예련,이한위,오지호,송새벽,안성기,박원희,김형석,박정학,배명호,장동원,정상용,박영수,오민석,정인기"
"마당을 나온 암탉",2011-07-28,14668226000,14668226000,2201273,2201273,363,39224,"(주)오돌또기 ,(주)명필름","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","애니메이션","오성윤,민성아","문소리,박철민,최민식,유승호,홍윤정,김한솔,김상현"
"초능력자",2010-11-10,15374798000,15374798000,2130645,2130645,612,58009,"영화사 집","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","SF,드라마","김민석","김한나,강동원,고수,정은채,윤다경,최덕문,김수남,허명행,강민서,홍대성,홍대성,최장훈,김윤하,김한수,황상길,문용찬,이미경,채성원,유동헌,전상하,윤정빈,박아람,오정택,최윤석,김대현,김지원,이형훈,조덕제,류아벨,변희봉,김광규,김인권,김소진,이세랑,김영아,김기범,김서원,조영규,이수광"
"쩨쩨한 로맨스",2010-12-01,15800299000,15800299000,2067534,2067534,450,47891,"(주)크리픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","코미디,멜로/로맨스","김정훈","이선균,최강희,류현경,오정세,석정현,조성환,송유하,최현숙,추연규,류지혜,정구영,박성일,이원종,최희진,신동환,조은지,정민성"
"글러브",2011-01-20,13756104000,13756104000,1887731,1887731,605,44725,"(주)시네마서비스","CJ ENM","전체관람가","드라마","강우석","강신일,김미경,김혜성,유선,정재영,조진웅,장기범,이현우,김경호,조찬형,안창현,한만진,서혜진,김선우,최성필,정진규,김정우,최은성,이창수,이해영,전국환,리우진,오희준,김동영,권은수,김경룡"
"아이들...",2011-02-17,13579712500,13579712500,1867849,1867849,504,41515,"(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","범죄,스릴러","이규만","박용우,류승룡,성동일,성지루,김여진,박병은,주진모,조덕제,서영화,이의수,손광익,임태환,이상훈,박현수,이보라,최동훈,유지은,이훈직,정민,정계순,신현종,장준녕,이봉규,전국환,서주희,라미란,오동주,박미현,이재우,양지웅,이장유,조영규,김서연"
"해결사",2010-09-09,13844624000,13844624000,1843404,1843404,525,59325,"(주)외유내강","(주)넥스트엔터테인먼트월드(NEW),(주)에스비에스콘텐츠허브","15세이상관람가","액션,스릴러","권혁재","이영수,설경구,이정진,오달수,주진모,문정희,송새벽,김형주,황병국,서동필,김재민,박연정,김정팔,이영훈,이준규,이재인,이종석,박진우,이무생,조영진,한창현,원현준,권은수,이정민,김서원,박영서,이동진"
"악마를 보았다",2010-08-12,13919416500,13919416500,1817063,1817063,490,42721,"(주)페퍼민트앤컴퍼니,(주)씨즈엔터테인먼트","(주)쇼박스","청소년관람불가","스릴러","김지운","구용완,이병헌,최민식,조승민,신정훈,이준혁,김인서,남보라,최문숙,박미선,장정원,윤채영,정지윤,이현용,최무성,천호진,한송이,오산하,조덕제,최진호,전국환,김강일,김봉수,설창희"
"마이 웨이",2011-12-21,13002897500,13002897500,1739543,1739543,645,31802,"(주)디렉터스","에스케이플래닛(주),(주)씨제이이엔엠","15세이상관람가","전쟁,액션,드라마","강제규","장동건,오다기리 조,판빙빙,강남현,조동혁,김효연,김홍근,신승훈,홍서백,김희원,최지우,도지한,이건우,최태정,박태성,이광기,한경석,한정욱,서종철,김대현,이문호,유미진,이호연,이상협,이확광,곽진석,곽호선,권문철,이홍섭,최우수,오태경,양진석,이창욱,이학렬,이현희,최상준,한승현,이동훈,김시후,김인우,성유빈,정종열,이동진,위지웅"
"평양성",2011-01-27,12684530500,12684530500,1717566,1717566,483,41860,"(주)영화사아침,(주)타이거픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","전쟁,코미디,드라마","이준익","정진영,이문식,류승룡,윤제문,선우선,이광수,신정근,류승수,강하늘,정석용,한동학,박장호,김민상,김현찬,박종범,황인범,조철현,한재덕,이영수,김도한,최대성,김태훈,최민수,이석원,장무준,오승현,이광일,김지환,이현구,고은총,이대연,유하복,김강일,이원종,전원주,박용우,류승완,류담,김병만,황정민,원현준,이상훈,류성현"
"무적자",2010-09-16,11629780500,11629780500,1546132,1546132,412,46186,"핑거프린트(주)","CJ ENM","15세이상관람가","드라마,액션","송해성","주진모,송승헌,김강우,조한선,최재원,홍의정,이신성,임형준,박현,한상현,류근형,이소희,김재형,김철준,양은혜,서태화,박진우,김해곤,이기혁,신유람,손병욱"
"구르믈 버서난 달처럼",2010-04-28,10241716500,10241716500,1383867,1383867,506,48314,"(주)영화사아침,(주)타이거픽쳐스","에스케이텔레콤(주)","15세이상관람가","사극,액션","이준익","황정민,김성훈,차승원,한지혜,백성현,신영훈,김영훈,함철훈,박광설,박미령,정선미,임재윤,권성영,김여정,이달형,박수정,이필훈,양명헌,송영창,박진우,신정근,이해영,김보연,김창완,정재헌,김상호,염동헌,정민성,박윤호,김서원,양도현"
"육혈포 강도단",2010-03-18,8651186000,8651186000,1214237,1214237,319,51941,"(주)전망좋은 영화사","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,드라마,액션","강효진","나문희,김수미,김혜옥,임창정,김희원,김광규,강경헌,성소원,김민태,박영희,함성원,김기환,강선미,강선미,서성종,김규동,최동헌,유영채,윤미영,이채은,라미란,장원영,남문철,서승원,이세랑,이화룡,염동헌,이나라,이민웅"
"심야의 F.M.",2010-10-14,9179188500,9179188500,1208310,1208310,423,50429,"(주)주말의 명화,(주)홍필름","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가","스릴러,범죄","김상만","수애,유지태,정혜영,김동협,제정훈,조영천,김유화,신다은,송지인,최다연,정유미,최용준,김수홍,김윤태,정만식,김규선,손지현,김윤태"
"김종욱 찾기",2010-12-08,8208816000,8208816000,1122195,1122195,427,32174,"(주)수필름","CJ ENM","12세이상관람가","멜로/로맨스,드라마","장유정","임수정,공유,천호진,이청아,전수경,류승수,신성록,정규수,정성화,장영남,오나라,최일화,김무열,최지호,원기준,정준하,오만석,김동욱,엄기준,이제훈,김민지,조한철,서현철,신문성,장영주,차지훈,김동현,임도윤,고지광,박경찬,김봉수,정종열,최교식,정의욱,김태훈"
"용서는 없다",2010-01-07,8544828000,8597290000,1118277,1125154,323,33614,"㈜더드림앤드픽쳐스,(주)시네마서비스","(주)시네마서비스","청소년관람불가","범죄,스릴러","김형준","설경구,류승범,한혜진,성지루,박상욱,이정우,김혁,강규환,신민섭,조수빈,강승완,김대상,김도엽,최규동,유태경,임두영,정승연,정재훈,최원영,최윤정,최은경,임영진,이종석,남경읍,김홍파,김종수,이도겸,유다인,주석태,정영훈"
"특수본",2011-11-24,8096052500,8096052500,1118258,1118258,471,40881,"(주)영화사수박","(주)시너지하우스 (시너지),롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션,범죄","황병국","우혜진,엄태웅,주원,정진영,성동일,이태임,김정태,송지현,신혜정,최현정,최형준,조재윤,조창훈,권영복,류지은,서민경,김경아,민정기,유성,유성재,김태희,곽혜진,윤미옥,박민정,구창모,장용철,장현정,박성규,최우형,유창숙,이태훈,김윤재,한국진,김영재,이희준,김수현,유승목,정만식,반민정,오희준,염동헌,김봉수,최교식,김남순,김태훈,이동진"
"베스트셀러",2010-04-15,7983184500,7983184500,1081752,1081752,308,41064,"(주)에코필름,데이지엔터테인먼트","(주)시너지하우스 (시너지)","15세이상관람가","미스터리,스릴러,드라마","이정호","엄정화,류승룡,이도경,김화영,조상원,남동협,박혁,주명훈,강정식,서도빈,이연,이준호,박사랑,김홍파,최무성,조진웅,이성민,오정세,이용녀,조희봉,서이숙,김종대"
"수상한 고객들",2011-04-14,7953428000,7953428000,1059350,1059350,411,33930,"(주)메이스엔터테인먼트","(주)씨제이이엔엠","15세이상관람가","코미디,드라마","조진모","윤하,류승범,박철민,정선경,성동일,강민우,신채원,채빈,홍소희,진선미,김보슬,이지은,유성협,박매희,박상철,정성하,김철준,이철민,최정우,김병춘,안길강,장준녕,정만식,최일화,연송하,서지혜,양조아,손병욱,강승연"
"오직 그대만",2011-10-20,7591008500,7591008500,1027622,1027622,435,35365,"(주)51k,(주)에이치비엔터테인먼트","(주)쇼박스","15세이상관람가","멜로/로맨스","송일곤","소지섭,한효주,김혜진,최재훈,김희승,신용철,신은진,최제헌,강신일,오광록,김현철,최철수,최혜진,심철민,표형렬,안재민,백지영,권지훈,강성대,박갑진,박동규,김성종,인지연,장성희,오정택,최욱,최은혜,이길우,김윤영,윤종화,조성하,염혜란,진구,박성근,최교식,한이진"
"심장이 뛴다",2011-01-05,7624895500,7624895500,1025243,1025243,445,26876,"(주)오죤필름,(유)대결문화산업전문회사","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","드라마","윤재근","김윤진,박해일,강신일,강신일,한유빈,조윤정,조정준,박현숙,방윤지,서아름,문대영,김경태,임혜진,장유진,전병철,박선영,정민교,엄세현,이윤재,이승준,박진우,이희준,전배수,이한위,남성호,김상호,김재경,정다혜,백도겸,권민경"
"파괴된 사나이",2010-07-01,7692092100,7692092100,1012310,1012310,363,31985,"아이러브시네마,(주)아이필름홀딩스","(주)시너지하우스 (시너지)","청소년관람불가","드라마,스릴러","우민호","김명민,엄기준,박주미,이병준,김소현,이경근,박지애,김병욱,김태호,최민서,이희주,임윤주,박수용,오민석,이나경,신현종,안서현,김응수,최광일"
"평행이론",2010-02-18,6793066000,6793066000,921111,921111,265,32341,"(주)다세포클럽,CJ ENM","CJ ENM","15세이상관람가","스릴러,액션,드라마,미스터리","권호영","지진희,심호성,이종혁,하정우,윤세아,박병은,강동우,권정민,서강호,장원석,박경원,이훈재,박상혁,오성진,오현경,최은찬,신정만,박사랑,유하복,오지은,김태훈,김자영"
"퍼펙트 게임",2011-12-21,6640940000,6640940000,895416,895416,413,21090,"(주)동아수출공사,밀리언 스토리,(주)다세포클럽","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","드라마","박희곤","조승우,양동근,최정원,임지훈,김동희,허형규,박용규,신준호,최지훈,조찬형,차현우,한준혁,박정수,박정식,박현용,안준석,안태운,권승현,주아영,김기홍,이만규,서상화,문용식,문종헌,이명자,장원석,민정기,원희,최대영,이상하,곽중훈,최민철,윤상일,최상호,김성태,구종률,이선진,이성수,오성진,김창후,박수진,박수환,최용규,최은,김우상,김지만,조진웅,장경아,김병옥,손병호,신현종,오정세,이병준,나윤성,최일화,공정환,최원영,김영민,박서준,이동진,곽병민"
"체포왕",2011-05-04,6413325500,6413325500,870887,870887,407,32545,"(주)씨네이천","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,액션","임찬익","박중훈,이선균,김정태,강기화,손광익,손정희,신정호,김해정,임찬익,김병석,김다은,김다혜,서정주,문준영,김대욱,김선민,윤성원,정단비,정동철,최성원,오성수,김승필,유창숙,이태우,이하늘,이종경,최재섭,임승묵,조재윤,장소연,최덕문,이한위,배용근,권병길,김소진,리우진,백지원,최교식"
"고死 두 번째 이야기: 교생실습",2010-07-28,5802318000,5802318000,857038,857038,313,23307,"(주)코어콘텐츠미디어","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","공포(호러),스릴러","유선동","김수로,황정음,윤시윤,김민영,박지연,박은빈,강내균,강성용,권현상,윤승아,황병현,박영주,박진수,남보라,박혜연,김기철,이동희,지성한,김도연,유미나,이상진,최민선,전상호,박상아,최아진,이종원,이용녀,지창욱,김진황,김보미"
"만추",2011-02-17,6313817000,6313817000,845845,845845,444,25590,"(주)에스씨에스엔터테인먼트","CJ ENM","15세이상관람가","멜로/로맨스","김태용","현빈,탕웨이,김서라"
"화이트: 저주의 멜로디",2011-06-09,5587166000,5587166000,790954,790954,311,28059,"(주)두엔터테인먼트","(주)씨제이이엔엠","15세이상관람가","공포(호러)","김곡,김선","황우슬혜,함은정,강명희,임찬영,송혁조,홍선희,김혜란,최재호,김유란,박은혜,김기방,최아라,신혜선,정병욱,박지영,박진수,방승배,한동배,한동훈,권아름,김동령,주용,최지혜,최나리,유영식,이화연,최영성,이수연,이수진,최은미,이용희,이윤아,이일형,김지섭,박지원,최민철,진세연,이규한,서현우,김영민"
"푸른소금",2011-08-31,5739824500,5739824500,771699,771699,476,28346,"(주)미디어앤시네마스튜디오블루","(주)씨제이이엔엠","15세이상관람가","액션,드라마,멜로/로맨스","이현승","송강호,신세경,천정명,이종혁,김민준,윤여정,송민경,양기원,박지훈,남성훈,박병철,오영석,김진화,이종필,장영남,최덕문,조덕제,조영진,김뢰하,이솜,송재룡,김종구,한이진"
"주유소 습격사건 2",2010-01-21,5379208500,5379208500,729834,729834,315,27844,"㈜감독의집,(주)시네마서비스","(주)시네마서비스","15세이상관람가","액션,코미디","김상진","지현우,조한선,박영규,송율규,정재훈,문원주,나해리,탁트인,김정운,강경덕,신승훈,조영민,김윤성,박진영,배선옥,백종민,강승완,정규영,정찬석,김상진,유승우,유용주,박상욱,이세미,정지호,이영식,김태훈,이정임,이미도,조덕현,박상면,이도겸"
"풍산개",2011-06-23,5395201500,5395201500,714136,714136,286,19194,"(주)김기덕 필름","(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","드라마","전재홍","윤계상,김규리,박장면,김영훈,한기중,최무성,최석준,김재원,이혜성,유순철,유순철,진선규,김종수,배용근,유하복,박지선,김예나,김윤태,위지웅"
"통증",2011-09-07,5246996000,5246996000,700272,700272,317,29211,"(주)트로피엔터테인먼트,(주)영화사축제,(주)미스터로맨스","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","멜로/로맨스,드라마","곽경택","정려원,권상우,김민욱,한민혁,서해림,임여문,정진수,이언수,김중탁,이미도,장영남,강민아,황성준,김사희,이언수"
"고양이: 죽음을 보는 두 개의 눈",2011-07-07,4780502000,4780502000,672314,672314,304,18972,"파인하우스필름(주)","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","공포(호러)","변승욱","김예론,김동욱,강경자,조석현,신다은,박진영,박민영,박상현,임경환,이철민,이한위,박현영,서이숙,이중옥,이장유,강기둥"
"이층의 악당",2010-11-24,4271750500,4271750500,596851,596851,379,26998,"(유)이층의 악당 문화산업전문회사","(주)싸이더스","15세이상관람가","코미디,미스터리","손재곤","오재균,한석규,김혜수,송병철,한민,권혁석,서정수,유승호,이현숙,김우혁,지우,동호,이용녀,김기천"
"반가운 살인자",2010-04-08,4285830500,4285830500,590531,590531,264,29724,"(주)영화사소풍","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","코미디,스릴러","김동욱","김미소,유오성,김동욱,심은경,김응수,허행욱,신정민,김태형,김정식,이미도,송옥숙,정민성,정종열,권범택"
"퀴즈왕",2010-09-16,4188846000,4188846000,573001,573001,321,23579,"소란플레이먼트(주)","(주)시네마서비스","15세이상관람가","코미디","장진","김수로,한재석,이재용,송영창,류승룡,장영남,이지용,류덕환,손일준,조덕현,박준서,한상구,한수진,고성일,장진,이수영,김용구,이태웅,이종필,김병옥,이철민,김원해,이한위,이해영,심은경,윤주만,안민영,이상훈,이수빈"
"너는 펫",2011-11-10,3810103000,3810103000,543313,543313,341,24395,"컴어나더(주)","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가","멜로/로맨스,코미디","김병곤","장근석,김하늘,홍세희,최종훈,김유인,신정원,박재성,고나은,김해인,심서린,조진혁,박진성,박진아,조현수,고우리,유지민,정정숙,윤영식,윤용일,정유미,최원석,이진희,이채원,김주용,안길강,강하늘"
"챔프",2011-09-07,3850214500,3850214500,534752,534752,301,19668,"(주)씨엘엔터테인먼트,(주)대명문화공장,(주)예인문화,(주)화인웍스","(주)쇼박스","12세이상관람가","드라마","이환경","차태현,김수정,유오성,박하선,김혜선,백도빈,윤희석,조인권,방현용,방현용,한창민,김석봉,유미라,이서이,박상우,박성일,최원준,최은지,김정준,박근록,김광규,김상호,정민성,백현주,김기천,한이진,손병욱"
"불량남녀",2010-11-04,3562190000,3562190000,483387,483387,338,24441,"㈜트라이앵글픽쳐스,㈜비오비시네마","(주)쇼박스","15세이상관람가","코미디","신근호","임창정,엄지원,이영란,허서영,송혜진,정은우,임효우,김선국,박병렬,정슬기,오재진,하은설,조덕현,서태화,주영호,유순철,조재윤,한제인,김명국,권은수,김영웅,김사희,한이진"
"친정엄마",2010-04-22,3321091000,3321091000,472009,472009,275,24994,"(주)동아수출공사,아일랜드픽처스(주)","(주)싸이더스","전체관람가","드라마,가족","유성엽","김해숙,박진희,정현주,박준호,최태영,최혜경,권오현,강주연,서원상,최선영,장지연,김태훈,이전환,이미도,조영진,김자영,이빛나,곽자형,이선주,오창경,신유람"
"카운트다운",2011-09-29,3630557000,3630557000,471547,471547,341,20958,"(주)영화사봄","(주)싸이더스,(주)넥스트엔터테인먼트월드(NEW)","청소년관람불가","드라마,액션","허종호","정재영,전도연,오만석,손상현,김홍재,조서희,신선희,조수영,김준원,오광록,박주원,최현수,최효상,박초롱,노남석,권혁준,고상우,김관수,김기만,이민영,김태성,권성국,김철수,오대환,오상호,배성우,김재화,정혜선,김광규,최종률,김강일,정만식,박혜진,위지웅"
"식객2 : 김치전쟁",2010-01-28,3243969500,3243969500,462714,462714,347,22753,"㈜이룸영화사","롯데쇼핑㈜롯데엔터테인먼트","전체관람가","드라마","백동훈,김길형","김정은,진구,왕지혜,한혜숙,허동우,윤현아,박재영,이병준,박정미,황재희,한영수,문정은,이명우,김순태,김정원,오무영,전숙,이학석,이현옥,이혜림,김은숙,최종원,김영옥,박길수,김인우,신유주,리우진,이칸희,추자현,채빈,최홍일,김영웅,한사명,손희순,원근희"
