순위,영화명,개봉일,매출액,"매출액
점유율",누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
11,S 다이어리,2004-10-22,7024070500,0.029,7024070500,1098583,1098583,169,20150,한국,한국,(주)아이필름홀딩스,"CJ ENM,아이러브시네마",15세관람가,코미디,권종관,"공유,김광일,홍윤희,최우혁,이현우,이하나,김수로,김선화,김선아,김미경,최철수,안현주,서상우,임재연,오주은,이찬호,이철호,이충신,이찬호"
12,알포인트,2004-08-20,6792339000,0.028,6792339000,1068087,1068087,100,15833,한국,한국,씨앤필름(주),(주)시네마서비스,15세관람가,전쟁,공수창,"감우성,손병호,박원상,오태경,이선균,손진호,문영동,정경호,김병철,기주봉,신진우,최차남,황성진,조현수,이동운,한종훈,곽성훈,이호용,정용훈,이수성,양희선,이은혜,김완식,오현수,안내상"
13,주홍글씨,2004-10-29,6648786000,0.028,6648786000,1030259,1030259,190,18777,한국,한국,(주)엘제이필름,(주)쇼박스,18세관람가,"스릴러,멜로/로맨스",변혁,"성현아,한석규,이은주,변혁,엄지원,김중기,정인기"
14,어린 신부,2004-04-02,6240174500,0.026,6240174500,991674,991674,70,12895,한국,한국,(주)컬처캡미디어,코리아픽쳐스(주),12세관람가,코미디,김호준,"김래원,김보경,안선영,문근영,진경,김혜옥,김인문,한진희,송기윤,선우은숙,신세경,최장헌,박준석,박진우,유순일,임관우,장미희,김용환,류덕환,전원주,윤서현"
15,역도산,2004-12-15,6050131500,0.025,6050131500,951646,951646,223,14789,한국,한국,"(주)싸이더스,㈜싸이더스픽쳐스",CJ ENM,12세관람가,드라마,송해성,"설경구,이명수,유병훈"
16,범죄의 재구성,2004-04-15,6132904000,0.026,6132904000,942198,942198,73,11397,한국,한국,(주)싸이더스,(주)쇼박스,18세관람가,스릴러,최동훈,"김윤석,박신양,주진모,염정아,이기철,백윤식,이문식,천호진,박원상,김상호,성소원,송현정,한지선,서종해,김선태,이호원,박세환,오형진,이경헌,이인성,이현정,임하룡,정석원,윤다경,조희봉,김기천,손병욱"
17,여선생 VS 여제자,2004-11-17,5261476506,0.022,5261476506,846020,846020,182,20893,한국,한국,(주)좋은영화,CJ ENM,15세관람가,코미디,장규성,"김응수,이지영,이지훈,이세영,염정아,정형민,김혜경,황경애,최란,오은석,최윤정,이정헌,이원종,변희봉,신현종,김정영,전국향,최정인"
18,아라한 장풍대작전,2004-04-30,5207905000,0.022,5207905000,810406,810406,82,12593,한국,한국,(주)싸이더스,(주)시네마서비스,12세관람가,"액션,드라마",류승완,"류승범,윤소이,안성기,김수현,김지영,허명행,김효선,심재원,도영훈,이무룡,윤도현,장혁진,정두홍,권승구,이춘영,임하룡,유순철,이대연,안길강,윤주상,권범택"
19,내 남자의 로맨스,2004-07-16,4895975500,0.02,4895975500,765720,765720,102,9658,한국,한국,메이필름(주),CJ ENM,12세관람가,드라마,박제현,"김상경,박동빈,김정은,이유진,신영미,김희은,안준우,이광재,서광재,박솔,엄기욱,최이영,엄기욱,맹상훈,지대한,한재영,정희태"
20,효자동 이발사,2004-05-05,4855872900,0.02,4855872900,748380,748380,83,10745,한국,한국,영화사청어람(주),(주)쇼박스,15세관람가,드라마,임찬상,"문소리,송강호,주진모,이재응,오달수,노형욱,류승수,정세인,김민석,최한철,채성민,민봉기,손병호,박길수,조영진,정대용,윤주상,김경룡,최홍일,최교식,오창경"
21,아는 여자,2004-06-25,4686101500,0.02,4686101500,736296,736296,81,10941,한국,한국,필름있수다,(주)시네마서비스,15세관람가,드라마,장진,"이나영,정재영,이재용,이민정,이상민,조은정,지상용,이은석,김준혁,임하룡,조덕현,장영남,이철민,최일화"
22,"달마야, 서울 가자",2004-07-09,4469579500,0.019,4469579500,703507,703507,128,10918,한국,한국,"(주)타이거픽쳐스,(주)씨네월드",(주)시네마서비스,15세관람가,코미디,육상효,"김지영,신현준,유해진,이성호,정진영,윤지연,이원종,김만수,홍성훈,박진,박찬민,하상호,임철민,공유석,김성구,이준회,신정근,정한용,전소현,염동헌,박윤호"
23,신부수업,2004-08-05,4255753000,0.018,4255753000,675521,675521,113,9931,한국,한국,기획시대(주),코리아픽쳐스(주),12세관람가,"드라마,멜로/로맨스",허인무,"하지원,권상우,김도형,오대환,김유나,김선화,김인권,김인문,김미연,진이한,남진호,김도현,박경숙,이상현,김순옥,김지나,박효준,김일우,천우희,홍인"
24,슈퍼스타 감사용,2004-09-17,4073017000,0.017,4073017000,627199,627199,128,15185,한국,한국,(주)싸이더스,CJ ENM,전체관람가,드라마,김종현,"이범수,공유,윤진서,하정우,이명수,이혁재,송민규,이대희,정석원,김상현,최봉석,이성덕,김철용,예민정,이정준,정준하,장항선,장소연,이태성,박효주,조희봉,박충선,조원동,류승수,최대훈,박용우,이람,권유준"
25,분신사바,2004-08-05,3828714000,0.016,3828714000,608479,608479,97,9877,한국,한국,(주)소프트랜드 영상 사업부 에이포스트 픽쳐스,브에나비스타인터내셔널코리아,15세관람가,공포(호러),안병기,"김규리,이유리,이세은,최정윤,안성범,이경미,최성민,모지은,김경룡"
26,말죽거리 잔혹사,2004-01-16,3837152000,0.016,3837152000,604969,604969,40,5513,한국,한국,"(주)싸이더스,㈜싸이더스픽쳐스",CJ ENM,15세관람가,"액션,멜로/로맨스",유하,"권상우,이정진,한가인,김인권,박효준,이종혁,백봉기,안내상,조진웅,김동영,강동수,이동연,김대성,이민구,조주연,민성주,김성문,최선중,전진우,김소라,김수민,박수영,정영민,정진모,우성,김정열,양종규,이광재,이진욱,이혜선,김병춘,한재영,천호진,김부선,권태원,서동원,백주희,박혁민"
27,투 가이즈,2004-07-09,3584851500,0.015,3584851500,568230,568230,93,8311,한국,한국,(주)에스씨에스엔터테인먼트,쇼이스트(주),15세관람가,코미디,박헌수,"김성훈,차태현,박중훈,정환석,송남규,최정인,박한기,김병국,김경인,유소영,윤기호,김일환,정보름,이수나,김재훈,김창규,김용덕,한은정,이창용,박인환,지대한"
28,령,2004-06-17,3554937000,0.015,3554937000,558807,558807,74,8781,한국,한국,㈜팝콘필름,(주)쇼박스,12세관람가,공포(호러),"김태경,이인규","김하늘,신이,류진,남상미,이윤지,전혜빈,김근영,최은재,김해숙,기주봉"
29,돈 텔 파파,2004-09-03,3481025000,0.015,3481025000,558745,558745,81,10664,한국,한국,기획시대(주),CJ ENM,15세관람가,코미디,이상훈,"정웅인,유승호,채민서,이유진,천지윤,윤정,최우정,임호,이종수"
30,누구나 비밀은 있다,2004-07-30,3529353500,0.015,3529353500,542955,542955,88,7650,한국,한국,(주)태원엔터테인먼트,(주)시네마서비스,18세관람가,"코미디,멜로/로맨스",장현수,"김효진,이병헌,추상미,최지우,임현주,황재원,최경민,임혜경,임승범,이재훈,정준하,탁재훈,김해곤,신이"
31,꽃피는 봄이 오면,2004-09-23,3201626000,0.013,3201626000,497689,497689,117,11734,한국,한국,(주)씨즈엔터테인먼트,영화사청어람(주),12세관람가,드라마,류장하,"최민식,장신영,김호정,김강우,김동영,이민아,조명호,최태규,김기철,김길웅,이동진,김경준,박소윤,김정석,김영옥,이재응,이민아,엄효섭,최일화"
32,인어 공주,2004-06-30,2828706500,0.012,2828706500,437225,437225,105,8794,한국,한국,나우필름(주),CJ ENM,전체관람가,드라마,박흥식,"전도연,박해일,고두심,김봉근,이선균,김은영,주진모,송은주,신수현,홍지현,박현두,사소인,강희정,김일종,김부선,신동환,박명신,조현숙"
33,목포는 항구다,2004-02-20,2673832500,0.011,2673832500,425725,425725,25,6239,한국,한국,기획시대(주),코리아픽쳐스(주),15세관람가,"드라마,코미디",김지훈,"김윤태,차인표,조재현,김현정,송선미,박원서,방선진,문양식,김선애,유은아,이선규,장국환,임도기,정영호,이예은,조덕현,손병호,최덕문,이한위,김일우,기주봉,정경호,정상훈,권혁호,권태원,정인기,정희태,서병철"
34,그놈은 멋있었다,2004-07-22,2309055500,0.01,2309055500,372591,372591,77,5425,한국,한국,엘티 픽쳐스,프라임픽쳐스,15세관람가,코미디,이환경,"송승헌,김지혜,정다빈,이기우,이민혁,김효성,박정률,나수원,이동윤,김경록,곽동학,박민아,박성희,우성,이대일,이유명,정우,이환경,정준하,김보연,남궁은숙"
35,얼굴 없는 미녀,2004-08-06,2228765000,0.009,2228765000,346015,346015,72,5594,한국,한국,(주)아이필름홀딩스,"CJ ENM,아이러브시네마",18세관람가,스릴러,김인식,"김혜수,김태우,한정수,김영애,김무령,윤희현,김형석,안성현,채은석,박보연,정지환,정인기,조운"
36,그녀를 믿지 마세요,2004-02-20,1859615500,0.008,1859615500,298221,298221,25,4664,한국,한국,㈜영화사시선,(주)시네마서비스,12세관람가,코미디,배형준,"강동원,김용선,진경,김지영,김하늘,김은영,송재호,임하룡,최연수,김창수,최유선,이안나,이미은,류태호,권태원,홍인,이영은"
37,내사랑 싸가지,2004-01-16,1836153500,0.008,1836153500,296125,296125,22,2967,한국,한국,"제이웰엔터테인먼트(주),(주)포이보스",(주)시네마서비스,12세관람가,코미디,신동엽,"김재원,진태현,하지원,김지훈,한민,강정호,김상혁,유현호,최용준,김용건,김민경,김창완,임혁필"
38,페이스,2004-06-11,1534151500,0.006,1534151500,238950,238950,69,5674,한국,한국,(주)태원엔터테인먼트,(주)시네마서비스,15세관람가,공포(호러),유상곤,"송윤아,신현준,조원희,장석원,김승욱,안석환,홍수아,신용하,나관,권혁,진혜미,박승찬,이승민,이철민,이주실,오정세"
39,썸,2004-10-22,1488328000,0.006,1488328000,237763,237763,121,8366,한국,한국,씨앤필름(주),(주)시네마서비스,15세관람가,스릴러,장윤현,"고수,김효인,신두현,강신일,강신일,김혜진,최화영,대룡,윤소일,오정은,이승준,강성진,한재영"
40,맹부삼천지교,2004-03-26,1424995500,0.006,1424995500,229240,229240,56,5254,한국,한국,코리아 엔터테인먼트,CJ ENM,15세관람가,코미디,김지영,"손창민,조재현,소이현,손현주,김뢰하,김홍석,홍상석,박종욱,안갑용,나상문,김덕형,유상범,곽은미,김택수,유용현,유지원,인현주,박송이,최영주,이영자,오상민,김용석,이재웅,정석용,이인"
41,하류인생,2004-05-21,1470927500,0.006,1470927500,224794,224794,88,6039,한국,한국,태흥영화(주),(주)시네마서비스,15세관람가,액션,임권택,"조승우,김규리,문혜영,이재룡,이주원,최태환,송길한,조상연,조선종,박은아,김현석,최흥국,심재원,심효진,남우성,하성민,박호진,단혁태,백기현,지성환,서동현,모상범,서영우,김대승,김봉수,우영재,유광일,박동혁,김성실,이희탁,박민희,장은희,장찬희,전병욱,태인호,박상욱,임문섭,박상현,임수철,임순우,김태득,최영심,정수영,이후곤,임세호,오은석,김수용,김정섭,김정일,이기정,이한,김주경,이재인,최민철,오유진,김보연,남문철,이황의,송능한,문정희,한창현,손경원,주부진,손병욱"
42,인형사,2004-07-30,1324401000,0.006,1324401000,214709,214709,60,4035,한국,한국,(주)필마픽쳐스,롯데쇼핑㈜롯데시네마,15세관람가,공포(호러),정용기,"임은경,김유미,심형탁,옥지영,천호진,조성아,안재범,배효진,임종호,정진환,최유성,김정자,남명렬,김도영"
43,나두야 간다,2004-06-25,1215167500,0.005,1215167500,193554,193554,60,5005,한국,한국,화이트리시네마,롯데쇼핑㈜롯데시네마,15세관람가,코미디,정연원,"권용운,안관수(추천),손창민,정준호,오유미,정소영,임동문,신현탁,서범식,강성필,서동수,금보라,장태성,전미선"
44,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,1158210500,0.005,1158210500,181510,181510,28,3570,한국,한국,㈜제니스엔터테인먼트,(주)시네마서비스,12세관람가,코미디,강석범,"김주혁,엄정화,김가연,기주봉,손재곤,김두찬,김준성,조성재,조은희,박지현,이복희,김영숙,허기호,노승범,이주리,강성필"
45,쓰리 몬스터,2004-08-20,1161290500,0.005,1161290500,180377,180377,60,3970,한국,"한국,홍콩,일본","(주)영화사봄,어플로즈픽쳐스,가도카와헤럴드픽쳐스",CJ ENM,18세관람가,공포(호러),"박찬욱,미이케 다카시,프루트 챈","강혜정,하세가와 쿄코,이병헌,임원희,와타베 아츠로,양천화"
46,까불지마,2004-12-03,999160000,0.004,999160000,155308,155308,90,6418,한국,한국,제이유프로덕션(주),영화사청어람(주),15세관람가,드라마,오지명,"오지명,최불암,노주현,김정훈,임유진,박영아,조윤진,나재욱,권창범,서명석,최길호,유희연,윤은정,정유신,이재경,김학철,정호빈,정다빈,윤서현"
47,동해물과 백두산이,2003-12-31,935988000,0.004,1041877500,146740,163194,21,1865,한국,한국,"(주)영화사샘,(주)쇼박스",(주)쇼박스,15세관람가,코미디,안진우,"정준호,공형진,류현경,박정우,김유신,문성현,박상욱,윤지영,정지영,양지은,이혜미,신현탁,정경순,김광규,오지혜,한재영,한창현,박윤호"
48,어깨동무,2004-03-12,753985500,0.003,753985500,119884,119884,26,3015,한국,한국,(주)씨케이픽쳐스,CJ ENM,15세관람가,코미디,조진규,"김아중,최령,이성진,이문식,유동근,박예리,박정률,배정아,강호동,김경용,최철호,김무생"
49,여자는 남자의 미래다,2004-05-05,778685500,0.003,778685500,116639,116639,34,3520,한국,한국,"미라신코리아(주),유니코리아문예투자(주)",CJ ENM,18세관람가,드라마,홍상수,"유지태,성현아,김태우,오유진,엄수정,김호정,박정환,오달수,김방선,허영진,박희은,김대훈,전은미,박승배,서하나,김태훈,박희은"
50,라이어,2004-04-23,706033000,0.003,706033000,108156,108156,51,3092,한국,한국,씨앤필름(주),CJ ENM,18세관람가,"코미디,멜로/로맨스",김경형,"주진모,공형진,서영희,손현주,정우철,송선미,오만석,기주봉,정희태"
51,"DMZ, 비무장지대",2004-11-26,659079000,0.003,659079000,102233,102233,65,4649,한국,한국,이규형시네마(주),영화사청어람(주),18세관람가,"드라마,전쟁",이규형,"김정훈,정채경,박건형,김종환,조경진,조대영,박현욱,박현주,노장식,장광익,박상현,최수안,이영종,이영호,김종학,김종환,이지수,박휘순,이대연,정은표,리우진,이계형"
52,바람의 전설,2004-04-09,636285500,0.003,636285500,97925,97925,42,2889,한국,한국,필름매니아(주),(주)시네마서비스,15세관람가,드라마,박정우,"이성재,박솔미,김수로,문정희,김동영,김미경,정종훈,최정우,이정인,이칸희,유해진,정현철,조미경,홍성원,신현중,김의석,최현우,최혜진,허문영,백수미,한송이,백정현,권태훈,류정은,서원영,김도경,채영,최선희,오지연,정진영,김양수,김영복,이현우,이혜림,오현수,이필모,신현종,황석정,김병춘"
53,발레 교습소,2004-12-03,531000000,0.002,531000000,87380,87380,83,3551,한국,한국,좋은영화,CJ ENM,15세관람가,드라마,변영주,"윤계상,김민정,이준기,온주완,박윤영,도지원,백종현,김일형,전정호,김태균,이은경,이종원,이미도,윤택,곽민호,최정인,남정희"
54,아홉살 인생,2004-03-26,527412000,0.002,527412000,85312,85312,27,2492,한국,한국,"(주)황기성 사단,(주)조이슈즈",(주)시네마서비스,전체관람가,드라마,윤인호,"윤범호,김석,최성,이세영,나아현,김명재,정선경,안내상,송수근,송현석,노현정,이동혁,김경수,최덕문,신정근,지대한"
55,빈집,2004-10-15,455157000,0.002,455157000,71342,71342,60,4104,한국,한국,"(주)김기덕 필름,씨네클릭 아시아(팬텀)",영화사청어람(주),15세관람가,드라마,김기덕,"이승연,재희,권혁호,주진모,이의수,신태석,박남민,박동진,이홍석,박세진,이종섭"
56,거미숲,2004-09-03,412069500,0.002,412069500,63270,63270,61,2368,한국,한국,(주)오크필름,영화사청어람(주),18세관람가,"미스터리,범죄",송일곤,"감우성,이은주,김영재,강경헌,서정,장현성,김의정,유주현,윤영,이용주,김희정,손병호,조성하,윤주상,정승길,지우"
57,빙우,2004-01-16,363240500,0.002,363240500,55656,55656,18,1015,한국,한국,쿠앤필름(주),(주)쇼박스,12세관람가,드라마,김은숙,"김하늘,이성재,송승헌,이상윤,김지연,유해진,조경래,추천호,이승준"
58,여고생 시집가기,2004-12-23,323778500,0.001,323778500,52356,52356,51,1888,한국,한국,(주)더존필름,무비즈엔터테인먼트㈜,15세관람가,코미디,오덕환,"은지원,임은경,황재석,김희성,박정율,신효진,김경환,민성주,정다빈,김철준,윤기원,이칸희,김동효,심이영"
59,귀여워,2004-11-26,325502500,0.001,325502500,50874,50874,89,3316,한국,한국,튜브픽쳐스(주),(주)튜브엔터테인먼트,18세관람가,"드라마,코미디",김수현,"김석훈,정재영,예지원,박희순,장선우,박재영,박혜성,노진성,문성준,장석훈,윤일랑,김승식,이준원,김희정,김준배,박선우,김규남,이수빈"
60,신석기 블루스,2004-12-30,303966500,0.001,303966500,48907,48907,85,1118,한국,한국,㈜팝콘필름,(주)쇼박스,15세관람가,코미디,김도혁,"김현주,이종혁,이민아,이성재,남현,허정규,김인태,박보영,김지성,최진호,김창완,옥지영,이승호,신이,성기윤,원애리,정민성,김기천,남정희"
61,마지막 늑대,2004-04-01,303851500,0.001,303851500,47731,47731,26,1646,한국,한국,제네시스픽쳐스(주),"(주)쇼박스,영화사풍년상회(주)",15세관람가,코미디,구자홍,"황정민,양동근,김경란,김현정,오달수,장항선,신동호,최가연,이화룡,최승호,이혜영,김준성,김준하,손호승,황석정,김기현,유승목,이봉규,조희봉,정인겸"
62,사마리아,2004-03-05,285452000,0.001,285452000,44856,44856,23,1674,한국,한국,(주)김기덕 필름,쇼이스트(주),18세관람가,드라마,김기덕,"곽지민,이얼,서민정,한여름,권현민,최서진,임병조,김재영,정윤수,한창현,김기두,정인기"
63,돌려차기,2004-07-23,253837000,0.001,253837000,41295,41295,53,1804,한국,한국,(주)씨네이천,(주)시네마서비스,12세관람가,코미디,남상국,"박지연,현빈,진태현,김영호,김동완,신민철,신재민,정세인,최진우,조은희,나현,박철훈,남은영,노봉서,한용준,김갑동,김경모,서원진,김경욱,민성주,이상령,유재경,태인호,정민규,김태상,최세영,오선화,임대경,정유진,정철우,우성,김진섭,이창준,정우,이기우,문지윤"
64,신암행어사,2004-11-26,247353500,0.001,247353500,40728,40728,66,2547,한국,"한국,일본",캐릭터플랜(주),(주)시네마서비스,15세관람가,"애니메이션,판타지,SF","안태근,조지 시무라","구자형,지성,엄상현,배정미,송준석,배정민,김승준"
65,안녕! 유에프오,2004-01-30,250534000,0.001,250534000,40361,40361,17,864,한국,한국,우리영화(주),(주)튜브엔터테인먼트,전체관람가,드라마,김진민,"김응수,변희봉,봉태규,이범수,이은주,정인선,홍윤정,박정수,배태종,류주현,정석원,이무룡,서용준,박근수,이힘찬,정금자,박상현,박상현,임선애,김진,이규섭,김종옥,조재윤,김영재,주부진,박성호"
66,망치,2004-08-06,209407500,0.001,209407500,34805,34805,32,1103,한국,한국,캐릭터플랜(주),스폰지,전체관람가,애니메이션,안태근,"김용준,표영재,최석필"
67,그녀를 모르면 간첩,2004-01-30,187798000,0.001,187798000,30435,30435,22,822,한국,한국,(주)엠쓰리엔터테인먼트,(주)쇼박스,15세관람가,코미디,박한준,"공유,김정화,백일섭,김애경,남상미,김경섭,송혁재,홍승현,박경환,심재원,박한준,서동욱,강현,문진호,정영준,이재혁,유순철,김명국,조달환,이승연,유인영"
68,도마 안중근,2004-09-10,128953000,0.001,128953000,20318,20318,59,1814,한국,한국,(주)소스원프로덕션,(주)소스원프로덕션,전체관람가,드라마,서세원,"유오성,고두심,임명규,박정환,정혜선,최우혁,정성모,강민선,김효섭,안성균,노은영,한명숙,서광석,원주한,유재영,박소연,조유진"
69,올드보이,2003-11-21,120682000,0.001,1928502500,18736,299163,9,437,한국,한국,"(주)에그필름,쇼이스트(주)","쇼이스트(주),(주)씨제이이엔엠",18세관람가,스릴러,박찬욱,"최민식,유지태,강혜정,김병옥,오달수,이승신,윤진서,지대한,오태경,유연석,김원중,박재용,박지훈,한정옥,박근석,곽정애,임설아,박성규,오영주,임승용,최재섭,이대연,오광록,김수현,용이,박명신"
70,고독이 몸부림칠 때,2004-03-19,68938500,0,68938500,10745,10745,20,826,한국,한국,(주)마술피리,"(주)쇼박스,영화사풍년상회(주)",15세관람가,코미디,이수인,"주현,선우용녀,김무생,박영규,송재호,양택조,진희경,이주실,서원상,김재환,김준배,김준배,이재응,이세영"
71,날으는 돼지 - 해적 마테오,2004-07-24,34216000,0,34216000,5466,5466,6,180,한국,한국,동우에이앤이(주),에이아이씨코리아(AIC KOREA),전체관람가,애니메이션,송근식,"강수진,노민우,이장우,김호성,서영준,서원석,서원석,김학철"
72,클레멘타인,2004-05-21,22983000,0,22983000,3562,3562,9,247,한국,한국,펄스타 픽쳐스,(주)엔터모드,15세관람가,액션,김두영,"이동준,스티븐 시걸,은서우,김혜리,손철,윤현숙,윤현정,김규민,김희찬,김병채,김봉준,김성남,최영웅,이승윤,이영환,김영문,임호,기주봉,임혁필,전원주,최윤슬"
73,해피 에로 크리스마스,2003-12-17,23827500,0,459220000,3505,71441,6,136,한국,한국,(주)튜브엔터테인먼트,(주)튜브엔터테인먼트,15세관람가,드라마,이건동,"김선아,차태현,박영규,김지영,송윤희,조미영,홍성규,조상렬,신영운,박윤미,최창우,김현두,박창호,김경란,김동규,고현용,천승철,김선용,윤동원,박성범,최영두,김형범,정석용,오태경,손진호,김중기,박충선,염동헌,이청아,오창경"
74,마법경찰 갈갈이와 옥동자,2004-02-13,18446500,0,18446500,3074,3074,13,252,한국,한국,(주)토토엔터테인먼트,콜럼비아트라이스타㈜,전체관람가,코미디,이한열,"박준형,정종철,안갑용,정선교,이미혜,박석희,이수근"
75,마이 제너레이션,2004-12-03,16793500,0,16793500,2559,2559,3,224,한국,한국,엔디에스오삼일칠,아트플러스시네마네트워크,15세관람가,드라마,노동석,"이명수,유재경,최두영,김병석,최재훈,안슬기,박경목,이성중,이광우"
76,송환,2004-03-19,11672000,0,11672000,1829,1829,3,157,한국,한국,푸른영상,㈜인디스토리,12세관람가,다큐멘터리,김동원,"김선명,조창손,김영식"
77,키다리 아저씨,2005-01-14,2050000,0,2050000,296,296,1,1,한국,한국,"웰메이드엔터테인먼트,(주)유빈픽쳐스",CJ ENM,12세관람가,드라마,공정식,"하지원,연정훈,신이,김정난,정준하,손민경,조원경,권태근,변민지,강혜림,김부현,김덕진,민병훈,윤여송,정영주,양혜선,금보라,박은혜,현빈,오대규,정민성"
78,욕망,2004-02-20,870000,0,870000,125,125,2,44,한국,한국,(주)명필름,,18세관람가,드라마,김응수,"안내상,이수아,이동규,송영근,주미진,오성훈,최영재,장소연,최정인"
79,달은...해가 꾸는 꿈,1992-02-29,594000,0,594000,99,99,1,2,한국,한국,,,고등학생이상관람가,"드라마,멜로/로맨스,범죄",박찬욱,"이승철,나현희,송승환,이기열"
80,봄 여름 가을 겨울 그리고 봄,2003-09-19,475000,0,475000,95,95,1,3,한국,한국,"(주)엘제이필름,판도라 필름프로덕션",코리아픽쳐스(주),15세관람가,드라마,김기덕,"오영수,김기덕,김영민,서재경,차수아,지대한,김종호,송민영,김정영"
81,복수는 나의 것,2002-03-28,312000,0,312000,52,52,1,4,한국,한국,(주)스튜디오박스,CJ ENM,18세관람가,"범죄,스릴러",박찬욱,"신하균,송강호,배두나,최아라,한보배,문금영,윤명오,이윤미,이정욱,이대연,신정근,기주봉,이금희,지대한,이칸희"
82,선택,2003-10-24,128000,0,128000,32,32,1,13,한국,한국,"영필름,(주)신씨네",영화사청어람(주),15세관람가,드라마,홍기선,"김종철,김중기,안석환,신범수,조용득,조우영,김동진,박형진,이정희,한남규,강성삼,최백락,김태민,정철호,이지상,이현주,손병호,최일화,박충선,장희철,권태원,주부진,우광훈"
83,여섯 개의 시선,2003-11-14,186000,0,186000,31,31,1,3,한국,한국,국가인권위원회,영화사청어람(주),12세관람가,드라마,"여균동,정재은,임순례,박찬욱,박진표","이설희,백종학,변정수,김보현,주진모,지진희,한은지,오달수,강경윤,김현수,길해연,정인겸"
84,미소,2004-02-13,128000,0,128000,26,26,1,3,한국,한국,"미소필름,(주)가을엔터테인먼트",미소필름,15세관람가,드라마,박경희,"추상미,조성하,송일곤,김수진,김은영,진경,손원평,송상석,김효정,최형락,유혜숙,오승욱,양희정,이찬호,이일호,장민호,손병호,이찬호,최정열,김수진"
